"Sign In", "Log In"
"Sign Out", "Log Out"
"Toggle Nav", "Catalog"
"My Cart", "Cart"
"New Customers", "Don’t have an Kosher4u account?"
"Create an Account", "Sign Up"
"Search entire store here...", "Search"
"Shop By", "Filter"
"Shopping Options", "Filter"
"Create New Customer Account", "Sign Up To Kosher4u"
"Customer Login", "Log In to Kosher4u"
"SKU", "Barcode"
"You have no items in your shopping cart.", "You Have Not Made A Purchase Yet"
"Click <a href=""%1"">here</a> to continue shopping.", "<a href=""%1"">Continue Shopping</a>"
"Shopping Cart", "Cart Products"
